,Series6_A549-ACE2_Mock_1,Series6_A549-ACE2_Mock_2,Series6_A549-ACE2_Mock_3,Series6_A549-ACE2_SARS-CoV-2_1,Series6_A549-ACE2_SARS-CoV-2_2,Series6_A549-ACE2_SARS-CoV-2_3,Series16_A549-ACE2_Mock_1,Series16_A549-ACE2_Mock_2,Series16_A549-ACE2_Mock_3,Series16_A549-ACE2_SARS-CoV-2_1,Series16_A549-ACE2_SARS-CoV-2_2,Series16_A549-ACE2_SARS-CoV-2_3
ACE2,542787,46817,306635,196485,46343,44438,75328,401071,284874,149271,185268,170531
AGTR1,40,3,23,12,3,3,73,257,258,129,135,143
NFKB1,334,29,239,370,62,61,66,328,280,904,999,1058
RELA,1235,138,1037,295,80,79,148,741,625,509,634,617
IL12A,45,6,31,18,2,3,2,14,11,12,10,17
CCL2,118,17,71,312,63,45,72,289,293,613,795,790
ISG15,84,7,63,30,6,4,12,93,46,471,540,416
IFIH1,25,5,14,28,1,2,9,51,41,629,528,400
TBK1,1092,108,645,535,133,124,170,850,629,821,871,989
C2,46,2,11,11,2,1,4,14,15,21,24,30
C3,2547,208,1788,2332,575,558,926,4460,3803,2412,2207,1943
C5,2450,203,1440,824,256,261,527,2296,1872,209,174,151
C1R,178,13,121,201,51,53,176,842,757,724,629,503
C1S,740,53,480,455,125,144,347,1512,1294,692,599,516
FGA,868,75,514,864,267,284,139,583,360,270,243,231
FGB,771,65,444,781,252,274,134,393,371,182,125,100
FGG,747,73,442,676,222,227,84,371,232,154,102,80
RPS2,40942,4245,29263,11217,3849,2928,3283,17364,13492,3489,4115,4003
RPS3,25330,2093,17185,4138,1233,1003,3363,15118,12699,1942,2310,2359
RPS3A,15424,1109,8771,2508,660,725,1589,7681,6461,1195,1395,1518
RPS4X,29896,2520,18907,3939,1190,1184,3849,19207,15055,2053,2380,2466
